,chr,start,end
0,chr8,217600,230400
1,chr8,230400,243200
2,chr8,243200,256000
3,chr8,256000,268800
4,chr8,268800,281600
5,chr8,294400,307200
6,chr8,320000,332800
7,chr8,332800,345600
8,chr8,345600,358400
9,chr8,358400,371200
10,chr8,371200,384000
11,chr8,409600,422400
12,chr8,435200,448000
13,chr8,448000,460800
14,chr8,460800,473600
15,chr8,473600,486400
16,chr8,486400,499200
17,chr8,499200,512000
18,chr8,512000,524800
19,chr8,524800,537600
20,chr8,537600,550400
21,chr8,550400,563200
22,chr8,563200,576000
23,chr8,576000,588800
24,chr8,601600,614400
25,chr8,614400,627200
26,chr8,627200,640000
27,chr8,652800,665600
28,chr8,665600,678400
29,chr8,678400,691200
30,chr8,691200,704000
31,chr8,704000,716800
32,chr8,729600,742400
33,chr8,742400,755200
34,chr8,755200,768000
35,chr8,768000,780800
36,chr8,780800,793600
37,chr8,793600,806400
38,chr8,806400,819200
39,chr8,819200,832000
40,chr8,832000,844800
41,chr8,844800,857600
42,chr8,857600,870400
43,chr8,870400,883200
44,chr8,883200,896000
45,chr8,896000,908800
46,chr8,908800,921600
47,chr8,921600,934400
48,chr8,934400,947200
49,chr8,947200,960000
50,chr8,960000,972800
51,chr8,972800,985600
52,chr8,985600,998400
53,chr8,1062400,1075200
54,chr8,1075200,1088000
55,chr8,1113600,1126400
56,chr8,1126400,1139200
57,chr8,1152000,1164800
58,chr8,1177600,1190400
59,chr8,1190400,1203200
60,chr8,1203200,1216000
61,chr8,1241600,1254400
62,chr8,1254400,1267200
63,chr8,1267200,1280000
64,chr8,1280000,1292800
65,chr8,1292800,1305600
66,chr8,1305600,1318400
67,chr8,1318400,1331200
68,chr8,1331200,1344000
69,chr8,1356800,1369600
70,chr8,1408000,1420800
71,chr8,1420800,1433600
72,chr8,1433600,1446400
73,chr8,1446400,1459200
74,chr8,1459200,1472000
75,chr8,1472000,1484800
76,chr8,1484800,1497600
77,chr8,1497600,1510400
78,chr8,1510400,1523200
79,chr8,1523200,1536000
80,chr8,1536000,1548800
81,chr8,1548800,1561600
82,chr8,1587200,1600000
83,chr8,1612800,1625600
84,chr8,1625600,1638400
85,chr8,1638400,1651200
86,chr8,1651200,1664000
87,chr8,1664000,1676800
88,chr8,1676800,1689600
89,chr8,1702400,1715200
90,chr8,1715200,1728000
91,chr8,1728000,1740800
92,chr8,1740800,1753600
93,chr8,1753600,1766400
94,chr8,1766400,1779200
95,chr8,1779200,1792000
96,chr8,1792000,1804800
97,chr8,1804800,1817600
98,chr8,1856000,1868800
99,chr8,1868800,1881600
100,chr8,1894400,1907200
101,chr8,1907200,1920000
102,chr8,1920000,1932800
103,chr8,1932800,1945600
104,chr8,1945600,1958400
105,chr8,1958400,1971200
106,chr8,1971200,1984000
107,chr8,1984000,1996800
108,chr8,1996800,2009600
109,chr8,2009600,2022400
110,chr8,2022400,2035200
111,chr8,2035200,2048000
112,chr8,2048000,2060800
113,chr8,2060800,2073600
114,chr8,2073600,2086400
115,chr8,2086400,2099200
116,chr8,2099200,2112000
117,chr8,2112000,2124800
118,chr8,2124800,2137600
119,chr8,2137600,2150400
120,chr8,2150400,2163200
121,chr8,2176000,2188800
122,chr8,2188800,2201600
123,chr8,2201600,2214400
124,chr8,2214400,2227200
125,chr8,2227200,2240000
126,chr8,2355200,2368000
127,chr8,2521600,2534400
128,chr8,2534400,2547200
129,chr8,2547200,2560000
130,chr8,2572800,2585600
131,chr8,2585600,2598400
132,chr8,2598400,2611200
133,chr8,2611200,2624000
134,chr8,2624000,2636800
135,chr8,2636800,2649600
136,chr8,2649600,2662400
137,chr8,2688000,2700800
138,chr8,2700800,2713600
139,chr8,2713600,2726400
140,chr8,2752000,2764800
141,chr8,2764800,2777600
142,chr8,2777600,2790400
143,chr8,2790400,2803200
144,chr8,2803200,2816000
145,chr8,2816000,2828800
146,chr8,2841600,2854400
147,chr8,2867200,2880000
148,chr8,2880000,2892800
149,chr8,2892800,2905600
150,chr8,2905600,2918400
151,chr8,2918400,2931200
152,chr8,2931200,2944000
153,chr8,2944000,2956800
154,chr8,2956800,2969600
155,chr8,2969600,2982400
156,chr8,2982400,2995200
157,chr8,3008000,3020800
158,chr8,3020800,3033600
159,chr8,3046400,3059200
160,chr8,3059200,3072000
161,chr8,3072000,3084800
162,chr8,3084800,3097600
163,chr8,3097600,3110400
164,chr8,3110400,3123200
165,chr8,3123200,3136000
166,chr8,3136000,3148800
167,chr8,3148800,3161600
168,chr8,3161600,3174400
169,chr8,3174400,3187200
170,chr8,3187200,3200000
171,chr8,3200000,3212800
172,chr8,3212800,3225600
173,chr8,3251200,3264000
174,chr8,3302400,3315200
175,chr8,3315200,3328000
176,chr8,3328000,3340800
177,chr8,3340800,3353600
178,chr8,3353600,3366400
179,chr8,3366400,3379200
180,chr8,3379200,3392000
181,chr8,3404800,3417600
182,chr8,3417600,3430400
183,chr8,3430400,3443200
184,chr8,3443200,3456000
185,chr8,3481600,3494400
186,chr8,3494400,3507200
187,chr8,3507200,3520000
188,chr8,3520000,3532800
189,chr8,3532800,3545600
190,chr8,3545600,3558400
191,chr8,3558400,3571200
192,chr8,3571200,3584000
193,chr8,3584000,3596800
194,chr8,3596800,3609600
195,chr8,3609600,3622400
196,chr8,3622400,3635200
197,chr8,3635200,3648000
198,chr8,3648000,3660800
199,chr8,3686400,3699200
200,chr8,3699200,3712000
201,chr8,3712000,3724800
202,chr8,3724800,3737600
203,chr8,3763200,3776000
204,chr8,3776000,3788800
205,chr8,3788800,3801600
206,chr8,3801600,3814400
207,chr8,3814400,3827200
208,chr8,3840000,3852800
209,chr8,3878400,3891200
210,chr8,3891200,3904000
211,chr8,3904000,3916800
212,chr8,3916800,3929600
213,chr8,3929600,3942400
214,chr8,3942400,3955200
215,chr8,3955200,3968000
216,chr8,3968000,3980800
217,chr8,3980800,3993600
218,chr8,3993600,4006400
219,chr8,4006400,4019200
220,chr8,4019200,4032000
221,chr8,4070400,4083200
222,chr8,4096000,4108800
223,chr8,4108800,4121600
224,chr8,4121600,4134400
225,chr8,4134400,4147200
226,chr8,4147200,4160000
227,chr8,4160000,4172800
228,chr8,4172800,4185600
229,chr8,4185600,4198400
230,chr8,4198400,4211200
231,chr8,4211200,4224000
232,chr8,4224000,4236800
233,chr8,4236800,4249600
234,chr8,4249600,4262400
235,chr8,4275200,4288000
236,chr8,4288000,4300800
237,chr8,4326400,4339200
238,chr8,4339200,4352000
239,chr8,4352000,4364800
240,chr8,4390400,4403200
241,chr8,4416000,4428800
242,chr8,4428800,4441600
243,chr8,4441600,4454400
244,chr8,4454400,4467200
245,chr8,4467200,4480000
246,chr8,4480000,4492800
247,chr8,4492800,4505600
248,chr8,4505600,4518400
249,chr8,4518400,4531200
250,chr8,4531200,4544000
251,chr8,4544000,4556800
252,chr8,4556800,4569600
253,chr8,4595200,4608000
254,chr8,4633600,4646400
255,chr8,4646400,4659200
256,chr8,4659200,4672000
257,chr8,4672000,4684800
258,chr8,4684800,4697600
259,chr8,4697600,4710400
260,chr8,4710400,4723200
261,chr8,4723200,4736000
262,chr8,4736000,4748800
263,chr8,4748800,4761600
264,chr8,4761600,4774400
265,chr8,4774400,4787200
266,chr8,4787200,4800000
267,chr8,4800000,4812800
268,chr8,4825600,4838400
269,chr8,4838400,4851200
270,chr8,4864000,4876800
271,chr8,4876800,4889600
272,chr8,4915200,4928000
273,chr8,4928000,4940800
274,chr8,4940800,4953600
275,chr8,4953600,4966400
276,chr8,4966400,4979200
277,chr8,4979200,4992000
278,chr8,4992000,5004800
279,chr8,5004800,5017600
280,chr8,5017600,5030400
281,chr8,5030400,5043200
282,chr8,5043200,5056000
283,chr8,5107200,5120000
284,chr8,5120000,5132800
285,chr8,5132800,5145600
286,chr8,5171200,5184000
287,chr8,5196800,5209600
288,chr8,5209600,5222400
289,chr8,5222400,5235200
290,chr8,5235200,5248000
291,chr8,5248000,5260800
292,chr8,5260800,5273600
293,chr8,5273600,5286400
294,chr8,5286400,5299200
295,chr8,5312000,5324800
296,chr8,5324800,5337600
297,chr8,5337600,5350400
298,chr8,5363200,5376000
299,chr8,5376000,5388800
300,chr8,5388800,5401600
301,chr8,5401600,5414400
302,chr8,5414400,5427200
303,chr8,5440000,5452800
304,chr8,5465600,5478400
305,chr8,5478400,5491200
306,chr8,5491200,5504000
307,chr8,5504000,5516800
308,chr8,5516800,5529600
309,chr8,5529600,5542400
310,chr8,5542400,5555200
311,chr8,5555200,5568000
312,chr8,5580800,5593600
313,chr8,5593600,5606400
314,chr8,5606400,5619200
315,chr8,5619200,5632000
316,chr8,5632000,5644800
317,chr8,5644800,5657600
318,chr8,5657600,5670400
319,chr8,5670400,5683200
320,chr8,5683200,5696000
321,chr8,5696000,5708800
322,chr8,5708800,5721600
323,chr8,5721600,5734400
324,chr8,5734400,5747200
325,chr8,5747200,5760000
326,chr8,5760000,5772800
327,chr8,5772800,5785600
328,chr8,5785600,5798400
329,chr8,5836800,5849600
330,chr8,5849600,5862400
331,chr8,5862400,5875200
332,chr8,5875200,5888000
333,chr8,5900800,5913600
334,chr8,5913600,5926400
335,chr8,5926400,5939200
336,chr8,5939200,5952000
337,chr8,5952000,5964800
338,chr8,5964800,5977600
339,chr8,5977600,5990400
340,chr8,5990400,6003200
341,chr8,6003200,6016000
342,chr8,6016000,6028800
343,chr8,6028800,6041600
344,chr8,6041600,6054400
345,chr8,6054400,6067200
346,chr8,6067200,6080000
347,chr8,6080000,6092800
348,chr8,6092800,6105600
349,chr8,6131200,6144000
350,chr8,6144000,6156800
351,chr8,6156800,6169600
352,chr8,6169600,6182400
353,chr8,6182400,6195200
354,chr8,6195200,6208000
355,chr8,6208000,6220800
356,chr8,6220800,6233600
357,chr8,6233600,6246400
358,chr8,6246400,6259200
359,chr8,6259200,6272000
360,chr8,6272000,6284800
361,chr8,6284800,6297600
362,chr8,6297600,6310400
363,chr8,6310400,6323200
364,chr8,6323200,6336000
365,chr8,6336000,6348800
366,chr8,6348800,6361600
367,chr8,6361600,6374400
368,chr8,6374400,6387200
369,chr8,6387200,6400000
370,chr8,6400000,6412800
371,chr8,6412800,6425600
372,chr8,6425600,6438400
373,chr8,6438400,6451200
374,chr8,6451200,6464000
375,chr8,6464000,6476800
376,chr8,6476800,6489600
377,chr8,6489600,6502400
378,chr8,6502400,6515200
379,chr8,6515200,6528000
380,chr8,6528000,6540800
381,chr8,6540800,6553600
382,chr8,6553600,6566400
383,chr8,6566400,6579200
384,chr8,6579200,6592000
385,chr8,6604800,6617600
386,chr8,6617600,6630400
387,chr8,6630400,6643200
388,chr8,6643200,6656000
389,chr8,6656000,6668800
390,chr8,6668800,6681600
391,chr8,6681600,6694400
392,chr8,6694400,6707200
393,chr8,6707200,6720000
394,chr8,6720000,6732800
395,chr8,6732800,6745600
396,chr8,6745600,6758400
397,chr8,6758400,6771200
398,chr8,6771200,6784000
399,chr8,6784000,6796800
400,chr8,6796800,6809600
401,chr8,6809600,6822400
402,chr8,6822400,6835200
403,chr8,6835200,6848000
404,chr8,6848000,6860800
405,chr8,6860800,6873600
406,chr8,6886400,6899200
407,chr8,6899200,6912000
408,chr8,6912000,6924800
409,chr8,6924800,6937600
410,chr8,6937600,6950400
411,chr8,6950400,6963200
412,chr8,6963200,6976000
413,chr8,7014400,7027200
414,chr8,7027200,7040000
415,chr8,7040000,7052800
416,chr8,7052800,7065600
417,chr8,7065600,7078400
418,chr8,7078400,7091200
419,chr8,7091200,7104000
420,chr8,7104000,7116800
421,chr8,7116800,7129600
422,chr8,7142400,7155200
423,chr8,8243200,8256000
424,chr8,8256000,8268800
425,chr8,8268800,8281600
426,chr8,8281600,8294400
427,chr8,8294400,8307200
428,chr8,8307200,8320000
429,chr8,8320000,8332800
430,chr8,8332800,8345600
431,chr8,8345600,8358400
432,chr8,8358400,8371200
433,chr8,8371200,8384000
434,chr8,8384000,8396800
435,chr8,8396800,8409600
436,chr8,8409600,8422400
437,chr8,8422400,8435200
438,chr8,8435200,8448000
439,chr8,8448000,8460800
440,chr8,8486400,8499200
441,chr8,8499200,8512000
442,chr8,8512000,8524800
443,chr8,8524800,8537600
444,chr8,8537600,8550400
445,chr8,8550400,8563200
446,chr8,8563200,8576000
447,chr8,8576000,8588800
448,chr8,8588800,8601600
449,chr8,8601600,8614400
450,chr8,8614400,8627200
451,chr8,8627200,8640000
452,chr8,8640000,8652800
453,chr8,8652800,8665600
454,chr8,8665600,8678400
455,chr8,8678400,8691200
456,chr8,8691200,8704000
457,chr8,8704000,8716800
458,chr8,8716800,8729600
459,chr8,8729600,8742400
460,chr8,8742400,8755200
461,chr8,8755200,8768000
462,chr8,8768000,8780800
463,chr8,8780800,8793600
464,chr8,8793600,8806400
465,chr8,8806400,8819200
466,chr8,8819200,8832000
467,chr8,8832000,8844800
468,chr8,8844800,8857600
469,chr8,8857600,8870400
470,chr8,8870400,8883200
471,chr8,8883200,8896000
472,chr8,8896000,8908800
473,chr8,8908800,8921600
474,chr8,8921600,8934400
475,chr8,8934400,8947200
476,chr8,8947200,8960000
477,chr8,8960000,8972800
478,chr8,8972800,8985600
479,chr8,8985600,8998400
480,chr8,8998400,9011200
481,chr8,9011200,9024000
482,chr8,9024000,9036800
483,chr8,9036800,9049600
484,chr8,9049600,9062400
485,chr8,9062400,9075200
486,chr8,9075200,9088000
487,chr8,9088000,9100800
488,chr8,9100800,9113600
489,chr8,9113600,9126400
490,chr8,9126400,9139200
491,chr8,9139200,9152000
492,chr8,9152000,9164800
493,chr8,9164800,9177600
494,chr8,9177600,9190400
495,chr8,9190400,9203200
496,chr8,9203200,9216000
497,chr8,9216000,9228800
498,chr8,9228800,9241600
499,chr8,9241600,9254400
500,chr8,9254400,9267200
501,chr8,9267200,9280000
502,chr8,9280000,9292800
503,chr8,9292800,9305600
504,chr8,9305600,9318400
505,chr8,9318400,9331200
506,chr8,9331200,9344000
507,chr8,9344000,9356800
508,chr8,9356800,9369600
509,chr8,9369600,9382400
510,chr8,9382400,9395200
511,chr8,9395200,9408000
512,chr8,9408000,9420800
513,chr8,9420800,9433600
514,chr8,9433600,9446400
